Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,Ticker
WILLIAMS JEFFREY E,COO,Apr 02 '25,Sale,224.01,"35,493","7,950,691","390,059",Apr 03 06:33 PM,AAPL
COOK TIMOTHY D,Chief Executive Officer,Apr 02 '25,Sale,223.65,"108,136","24,184,658","3,280,295",Apr 03 06:32 PM,AAPL
Adams Katherine L.,"SVP, GC and Secretary",Apr 02 '25,Sale,223.67,"38,822","8,683,252","179,158",Apr 03 06:31 PM,AAPL
KATHERINE L ADAMS,Officer,Apr 02 '25,Proposed Sale,223.19,"38,822","8,664,682",,Apr 02 04:26 PM,AAPL
WILLIAMS JEFFREY E,Officer,Apr 02 '25,Proposed Sale,224.01,"35,493","7,950,684",,Apr 02 04:14 PM,AAPL
COOK TIMOTHY D,Officer,Apr 02 '25,Proposed Sale,223.65,"108,136","24,184,498",,Apr 02 04:12 PM,AAPL
LEVINSON ARTHUR D,Director,Feb 03 '25,Sale,226.35,"1,516","343,147","4,159,576",Feb 04 06:33 PM,AAPL
LEVINSON ARTHUR D,Director,Feb 03 '25,Proposed Sale,226.35,"1,516","343,147",,Feb 03 04:18 PM,AAPL
WILLIAMS JEFFREY E,COO,Dec 16 '24,Sale,249.97,"100,000","24,997,395","389,944",Dec 18 06:30 PM,AAPL
WILLIAMS JEFFREY E,Officer,Dec 16 '24,Proposed Sale,249.97,"100,000","24,997,440",,Dec 16 04:15 PM,AAPL
LEVINSON ARTHUR D,Director,Nov 18 '24,Sale,228.66,"75,000","17,149,500","4,209,576",Nov 19 06:31 PM,AAPL
LEVINSON ARTHUR D,Director,Nov 15 '24,Sale,224.68,"75,000","16,851,000","4,284,576",Nov 19 06:31 PM,AAPL
LEVINSON ARTHUR D,Director,Nov 19 '24,Sale,229.28,"50,000","11,464,000","4,159,576",Nov 19 06:31 PM,AAPL
KONDO CHRIS,Principal Accounting Officer,Nov 18 '24,Sale,228.87,"4,130","945,233","15,419",Nov 19 06:30 PM,AAPL
LEVINSON ARTHUR D,Director,Nov 19 '24,Proposed Sale,229.28,"50,000","11,464,127",,Nov 19 05:04 PM,AAPL
LEVINSON ARTHUR D,Director,Nov 18 '24,Proposed Sale,228.66,"75,000","17,149,334",,Nov 18 04:03 PM,AAPL
LEVINSON ARTHUR D,Director,Nov 15 '24,Proposed Sale,224.68,"75,000","16,850,931",,Nov 15 04:31 PM,AAPL
Maestri Luca,"Senior Vice President, CFO",Oct 04 '24,Sale,226.52,"59,305","13,433,769","107,788",Oct 08 06:30 PM,AAPL
Luca Maestri,Officer,Oct 04 '24,Proposed Sale,225.67,"59,305","13,383,359",,Oct 04 05:04 PM,AAPL
